cluster,company
1,Adobe
1,Amazon
1,Apple
1,Bloomberg
1,Google
1,Meta
1,Microsoft
1,Yahoo
2,Nutanix
2,Samsung
2,Snowflake
2,TikTok
2,Uber
2,Wix
2,eBay
3,Intuit
3,Oracle
3,Salesforce
3,ServiceNow
3,Tesla
3,Walmart Labs
4,Expedia
4,Morgan Stanley
4,Swiggy
5,Airbnb
5,Citadel
5,Palantir Technologies
6,Anduril
6,DoorDash
6,Snap
7,Accenture
7,tcs
8,Goldman Sachs
8,PayPal
9,IBM
9,Turing
10,Cisco
10,SAP
11,ByteDance
11,Nvidia
12,Flipkart
12,PhonePe
13,Capital One
13,Roblox
14,Dropbox
15,Pinterest
16,Databricks
17,Autodesk
18,Palo Alto Networks
19,Capgemini
20,Cognizant
21,Deloitte
22,EPAM Systems
23,Yelp
24,MathWorks
25,Rubrik
26,Qualcomm
27,Siemens
28,Atlassian
29,Zoho
30,Infosys
31,J.P. Morgan
32,Agoda
33,Paytm
34,Deutsche Bank
35,Media.net
36,Sprinklr
37,LinkedIn
38,Visa
39,X
40,Yandex
41,Coupang
42,DE Shaw
43,Zepto
44,Docusign
45,MakeMyTrip
46,Lyft
47,Grammarly
48,Netflix
49,Tinkoff
50,Arista Networks
